entity_id,canonical_name,aliases,domain,lifecycle_phase,wikidata_id,instance_of
dgb_pe-de-meia,Pé-de-Meia,"Pe-de-Meia,Poupança do Jovem,Pé de Meia,Programa Pé-de-Meia",SOCIAL,ROUTINE,,Q327254
dgb_bolsa-familia,Bolsa Família,"Bolsa Familia,Programa Bolsa Família,PBF",SOCIAL,ROUTINE,Q327254,Q327254
dgb_novo-pac,Novo PAC,"Novo Programa de Aceleração do Crescimento,PAC 2023,PAC Novo",ECONOMIC,IMPLEMENTATION,,
dgb_minha-casa-minha-vida,Minha Casa Minha Vida,"MCMV,Minha Casa,Programa Habitacional MCMV",SOCIAL,IMPLEMENTATION,Q2376464,Q2376464
dgb_farmacia-popular,Farmácia Popular,"Programa Farmácia Popular,Farmacia Popular",HEALTH,ROUTINE,,
dgb_mais-medicos,Mais Médicos,"Programa Mais Médicos,Mais Medicos,PMM",HEALTH,ROUTINE,,
dgb_prouni,ProUni,"PROUNI,Programa Universidade para Todos",EDUCATION,ROUTINE,,
dgb_sisu,SISU,"Sistema de Seleção Unificada,SISU MEC",EDUCATION,ROUTINE,,
dgb_fies,FIES,"Fundo de Financiamento Estudantil,Financiamento Estudantil",EDUCATION,ROUTINE,,
dgb_novo-ensino-medio,Novo Ensino Médio,"Reforma do Ensino Médio,NEM,Novo EM",EDUCATION,IMPLEMENTATION,,
dgb_taxa-selic,Taxa Selic,"Selic,Taxa básica de juros,Juros básicos",ECONOMIC,ROUTINE,,
dgb_arcabouco-fiscal,Arcabouço Fiscal,"Novo Arcabouço Fiscal,Framework Fiscal,Regra Fiscal",ECONOMIC,IMPLEMENTATION,,
dgb_reforma-tributaria,Reforma Tributária,"Reforma Tributaria,CBS,IBS,Imposto sobre Bens e Serviços",ECONOMIC,REGULATION,,
dgb_marco-legal-garantias,Marco Legal das Garantias,"Marco das Garantias,Lei das Garantias",ECONOMIC,IMPLEMENTATION,,
dgb_bpc,BPC,"Benefício de Prestação Continuada,Beneficio de Prestacao Continuada",SOCIAL,ROUTINE,,
dgb_auxilio-brasil,Auxílio Brasil,"Auxilio Brasil,Programa Auxílio Brasil",SOCIAL,ROUTINE,,
dgb_pronasci,PRONASCI,"Programa Nacional de Segurança Pública com Cidadania,Pronasci 2",SECURITY,IMPLEMENTATION,,
dgb_estrategia-nacional-seguranca,Estratégia Nacional de Segurança Pública,"ENSP,Estrategia Nacional de Seguranca Publica",SECURITY,REGULATION,,
dgb_ppcdas,PPCDAm,"Plano de Prevenção e Controle do Desmatamento na Amazônia,Plano Amazônia",ENVIRONMENT,IMPLEMENTATION,,
dgb_fundo-amazonia,Fundo Amazônia,"Fundo Amazonia,FA,Fundo Floresta Amazônica",ENVIRONMENT,IMPLEMENTATION,,
dgb_plano-clima,Plano Clima,"Plano Nacional do Clima,Política Climática Nacional",ENVIRONMENT,REGULATION,,
dgb_cop30-belem,COP30 Belém,"COP30,Conferência do Clima Belém,COP Belém 2025",ENVIRONMENT,ANNOUNCED,,
dgb_mapa-organizacoes,Mapa das Organizações,"Mapa Organizações,Portal de Organizações Gov",GOVERNANCE,IMPLEMENTATION,,
dgb_reforma-administrativa,Reforma Administrativa,"Reforma Admin,PEC Administrativa,Reforma do Estado",GOVERNANCE,REGULATION,,
dgb_portal-govbr,Portal Gov.BR,"Gov.BR,Portal do Governo,Govbr",GOVERNANCE,ROUTINE,,
dgb_egov-brasil,e-gov Brasil,"eGov,Governo Eletrônico,e-Government Brasil",GOVERNANCE,ROUTINE,,
dgb_cnpj-eletronico,CNPJ Eletrônico,"CNPJ Eletronico,Registro Empresarial Digital",GOVERNANCE,IMPLEMENTATION,,
dgb_marco-legal-startups,Marco Legal das Startups,"Lei das Startups,Marco Startups,Lei 182/2021",ECONOMIC,ROUTINE,,
dgb_politica-ciberseguranca,Política Nacional de Cibersegurança,"Cibersegurança Nacional,PNC,Política Cibersegurança",SECURITY,REGULATION,,
dgb_estrategia-ia,Estratégia Nacional de IA,"Estratégia IA,ENIAC,Inteligência Artificial Nacional",EDUCATION,REGULATION,,
dgb_brasil-participativo,Brasil Participativo,"Plataforma Brasil Participativo,Consulta Pública Federal",GOVERNANCE,IMPLEMENTATION,,
dgb_desenrola-brasil,Desenrola Brasil,"Programa Desenrola,Renegociação de Dívidas",ECONOMIC,IMPLEMENTATION,,
dgb_programa-acredita,Programa Acredita,"Acredita Brasil,Acredita,Microcrédito Acredita",ECONOMIC,IMPLEMENTATION,,
dgb_alimenta-brasil,Programa Alimenta Brasil,"Alimenta Brasil,Banco de Alimentos,CONAB Alimenta",SOCIAL,ROUTINE,,
dgb_escola-tempo-integral,Programa Escola em Tempo Integral,"Escola Tempo Integral,ETI,Ensino de Tempo Integral",EDUCATION,IMPLEMENTATION,,
dgb_banda-larga-escolas,Banda Larga nas Escolas,"Internet nas Escolas,Conectividade Escolar,BLE",EDUCATION,IMPLEMENTATION,,
dgb_plano-nacional-educacao,Plano Nacional de Educação,"PNE,Plano Educação,Lei PNE",EDUCATION,REGULATION,,
dgb_capes-mais-educacao,CAPES Mais Educação,"Mais Educação,Programa Mais Educação,CAPES Educação",EDUCATION,IMPLEMENTATION,,
dgb_emendas-pix,Emendas Pix,"Emendas por Transferência Especial,Emendas Impositivas Pix",GOVERNANCE,ROUTINE,,
dgb_programa-luz-para-todos,Luz para Todos,"Luz para Todos,Eletrificação Rural,ANEEL Rural",SOCIAL,ROUTINE,,
dgb_brasil-sorridente,Brasil Sorridente,"Política Nacional de Saúde Bucal,Saúde Bucal SUS",HEALTH,ROUTINE,,
dgb_rede-cegonha,Rede Cegonha,"Rede Cegonha SUS,Maternidade Segura,Parto Humanizado",HEALTH,ROUTINE,,
dgb_previne-brasil,Previne Brasil,"Programa Previne Brasil,Financiamento Atenção Primária",HEALTH,IMPLEMENTATION,,
dgb_mercado-carbono,Mercado Brasileiro de Carbono,"Mercado de Carbono,SBCE,Sistema Brasileiro de Créditos de Carbono",ENVIRONMENT,REGULATION,,
dgb_programa-bio,Programa BIO,"Programa de Bioeconomia,BIO Amazônia,Bioeconomia Brasil",ENVIRONMENT,IMPLEMENTATION,,
